Dataset,PredLen,Model,MSE,MAE,TotalTime(s)
Exchange Rate,720,Transformer,2.24331,1.202504,61.44
Traffic,24,Autoformer,0.581702,0.38063,83.76
Traffic,24,Informer,0.628408,0.3477,55.11
Traffic,24,Kairosformer_A1,0.55674,0.365431,49.9
Traffic,24,Kairosformer_A2,0.568987,0.380385,65.65
Traffic,24,Kairosformer_A3,0.594712,0.396641,68.95
Traffic,24,Kairosformer_v0,0.609125,0.408038,57.89
Traffic,24,Transformer,0.656811,0.373522,49.24
Traffic,48,Autoformer,0.59179,0.367014,85.8
Traffic,48,Informer,0.673284,0.37486,61.24
Traffic,48,Kairosformer_A1,0.584548,0.379306,56.42
Traffic,48,Kairosformer_A2,0.744131,0.471469,76.27
Traffic,48,Kairosformer_A3,0.638643,0.412522,77.45
Traffic,48,Kairosformer_v0,0.654231,0.436562,64.99
Traffic,48,Transformer,0.649151,0.366899,53.84
Traffic,96,Autoformer,0.632488,0.38758,101.22
Traffic,96,Informer,0.70785,0.393114,72.12
Traffic,96,Kairosformer_A1,0.589689,0.375911,68.47
Traffic,96,Kairosformer_A2,0.631259,0.40575,92.58
Traffic,96,Kairosformer_A3,0.665181,0.428656,92.81
Traffic,96,Kairosformer_v0,0.703554,0.456872,77.32
Traffic,96,Transformer,0.646459,0.362856,64.22
Traffic,192,Autoformer,0.644428,0.408724,132.95
Traffic,192,Informer,0.763534,0.411704,89.51
Traffic,192,Kairosformer_A1,0.602095,0.38002,88.5
Traffic,192,Kairosformer_A2,0.651854,0.420464,124.84
Traffic,192,Kairosformer_A3,0.656105,0.424166,123.68
Traffic,192,Kairosformer_v0,0.752265,0.48218,97.23
Traffic,192,Transformer,0.671171,0.369261,81.39
Traffic,336,Autoformer,0.618273,0.389018,189.53
Traffic,336,Informer,0.80144,0.437122,123.49
Traffic,336,Kairosformer_A1,0.603485,0.375177,126.73
Traffic,336,Kairosformer_A2,0.660757,0.421512,183.19
Traffic,336,Kairosformer_A3,0.669488,0.426299,179.7
Traffic,336,Kairosformer_v0,0.812868,0.508917,134.82
Traffic,336,Transformer,0.660926,0.36375,118.21
Traffic,720,Autoformer,0.653025,0.40314,315.48
Traffic,720,Informer,0.804239,0.444777,195.0
Traffic,720,Kairosformer_A1,0.62806,0.385099,222.39
Traffic,720,Kairosformer_A2,0.66736,0.421527,309.69
Traffic,720,Kairosformer_A3,0.678046,0.430599,298.64
Traffic,720,Kairosformer_v0,0.911154,0.562492,217.84
Traffic,720,Transformer,0.675332,0.366517,214.08
Weather,24,Autoformer,0.175909,0.267402,113.98
Weather,24,Informer,0.138234,0.223011,65.72
Weather,24,Kairosformer_A1,0.166525,0.248011,55.31
Weather,24,Kairosformer_A2,0.174965,0.266318,83.73
Weather,24,Kairosformer_A3,0.168936,0.258251,96.43
Weather,24,Kairosformer_v0,0.221807,0.319788,69.19
Weather,24,Transformer,0.146123,0.222146,59.95
Weather,48,Autoformer,0.229856,0.307056,127.03
Weather,48,Informer,0.270271,0.353416,70.62
Weather,48,Kairosformer_A1,0.228659,0.31398,61.99
Weather,48,Kairosformer_A2,0.270749,0.348827,96.2
Weather,48,Kairosformer_A3,0.21005,0.301193,109.03
Weather,48,Kairosformer_v0,0.242386,0.33527,74.7
Weather,48,Transformer,0.292023,0.346174,63.96
Weather,96,Autoformer,0.276282,0.338455,147.75
Weather,96,Informer,0.34853,0.417471,78.45
Weather,96,Kairosformer_A1,0.309368,0.374429,73.16
Weather,96,Kairosformer_A2,0.236103,0.31557,117.33
Weather,96,Kairosformer_A3,0.217319,0.294082,130.22
Weather,96,Kairosformer_v0,0.298535,0.374619,84.92
Weather,96,Transformer,0.326224,0.389474,73.45
Weather,192,Autoformer,0.311803,0.367016,195.77
Weather,192,Informer,0.517648,0.503076,93.77
Weather,192,Kairosformer_A1,0.308695,0.380127,95.46
Weather,192,Kairosformer_A2,0.310032,0.361989,166.1
Weather,192,Kairosformer_A3,0.313731,0.370857,177.64
Weather,192,Kairosformer_v0,0.456967,0.479542,105.07
Weather,192,Transformer,0.668503,0.596303,91.42
Weather,336,Autoformer,0.398055,0.421306,271.57
Weather,336,Informer,0.84467,0.666432,118.11
Weather,336,Kairosformer_A1,0.346638,0.403444,135.75
Weather,336,Kairosformer_A2,0.34273,0.380429,240.68
Weather,336,Kairosformer_A3,0.361456,0.397858,251.97
Weather,336,Kairosformer_v0,0.436989,0.467538,136.27
Weather,336,Transformer,0.776038,0.638958,126.01
Weather,720,Autoformer,0.424575,0.433027,466.4
Weather,720,Informer,1.075793,0.756546,181.28
Weather,720,Kairosformer_A1,0.45608,0.472469,269.53
Weather,720,Kairosformer_A2,0.434084,0.440955,436.49
Weather,720,Kairosformer_A3,0.434228,0.433422,446.03
Weather,720,Kairosformer_v0,0.609868,0.554706,216.86
Weather,720,Transformer,1.018143,0.754098,247.2
